sexe,prenom_usuel,xxxx-xxxx,1891-1900,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2020,total
1,A,21,0,0,0,0,0,0,0,0,3,0,3,0,0,27
1,Aadam,9,0,0,0,0,0,0,0,0,0,0,0,4,14,27
1,Aadel,27,0,0,0,0,0,0,0,0,11,17,0,0,0,55
1,Aadil,31,0,0,0,0,0,0,0,0,39,74,15,3,19,181
1,Aahil,5,0,0,0,0,0,0,0,0,0,0,0,0,15,20
1,Aakash,20,0,0,0,0,0,0,0,0,0,0,0,3,3,26
1,Aaron,39,0,3,3,0,6,3,3,23,22,124,530,7025,16605,24386
1,Aarone,10,0,0,0,0,0,0,0,0,0,0,4,57,76,147
1,Aaronn,10,0,0,0,0,0,0,0,0,0,0,0,16,59,85
1,Aaroun,8,0,0,0,0,0,0,0,0,0,0,0,0,30,38
1,Aarush,8,0,0,0,0,0,0,0,0,0,0,0,0,16,24
1,Aayan,5,0,0,0,0,0,0,0,0,0,0,0,7,54,66
1,Aaziz,14,0,0,0,0,0,0,0,0,9,7,0,0,0,30
1,Ab,27,0,0,0,0,0,0,30,20,0,0,0,0,0,77
1,Ab-Del,29,0,0,0,0,0,0,6,10,0,0,0,0,0,45
1,Ababacar,37,0,0,0,0,0,0,0,0,0,0,0,3,21,61
1,Abakar,18,0,0,0,0,0,0,0,0,0,0,0,3,7,28
1,Abane,17,0,0,0,0,0,0,0,0,0,0,0,3,0,20
1,Abas,33,0,0,0,0,0,0,0,0,0,0,3,0,8,44
1,Abass,37,0,0,0,0,0,0,0,0,0,0,0,20,47,104
1,Abasse,49,0,0,0,0,0,0,0,3,0,21,11,7,15,106
1,Abbas,36,0,0,0,0,0,0,6,31,23,36,28,27,61,248
1,Abbes,32,0,0,0,0,0,0,20,97,70,30,17,20,10,296
1,Abd,3,0,0,0,0,0,13,197,241,200,154,92,235,397,1532
1,Abd'allah,8,0,0,0,0,0,0,0,0,0,0,0,8,29,45
1,Abd-Allah,21,0,0,0,0,0,0,0,0,0,0,6,47,77,151
1,Abd-El,13,0,0,0,0,0,18,172,178,63,34,0,3,0,481
1,Abd-El-Kader,38,0,0,0,0,0,0,0,9,0,0,0,0,0,47
1,Abd-El-Krim,15,0,0,0,0,0,0,6,0,0,0,0,0,0,21
1,Abd-El-Rahman,15,0,0,0,0,0,0,0,0,0,0,0,3,3,21
1,Abd-Rahman,13,0,0,0,0,0,0,0,0,0,0,0,4,20,37
1,Abd-Samad,20,0,0,0,0,0,0,0,0,0,4,0,0,0,24
1,Abdala,50,0,0,0,0,0,0,3,13,8,0,0,0,0,74
1,Abdalah,48,0,0,0,0,0,0,23,44,39,30,3,16,16,219
1,Abdalaye,28,0,0,0,0,0,0,0,0,0,0,0,3,3,34
1,Abdalha,18,0,0,0,0,0,0,0,7,3,0,0,0,0,28
1,Abdalla,51,0,0,0,0,0,3,3,11,7,3,0,0,4,82
1,Abdallah,0,0,0,0,0,0,27,216,568,513,483,443,1296,1950,5496
1,Abdarahim,18,0,0,0,0,0,0,0,0,3,0,0,0,0,21
1,Abdarahman,27,0,0,0,0,0,0,0,0,0,0,0,0,7,34
1,Abdarahmane,23,0,0,0,0,0,0,0,0,0,0,0,3,7,33
1,Abdarrahman,11,0,0,0,0,0,0,0,0,0,0,0,6,21,38
